id;Sensorname;Type;Subtype;Value1;Value2;ValueDiff;Duration;Timestamp
324089;H_Eingag_cyrspec_temp;zwave;Temperature;11.48;;;;"=""2020-12-22 08:15:26.115"""
324090;H_Eingag_cyrspec_light;zwave;LightPercent;13.06;;;;"=""2020-12-22 08:15:26.169"""
324091;H_Eingag_cyrspec_moist;zwave;MoistPercent;81.17;;;;"=""2020-12-22 08:15:26.737"""
324092;W_Balkon_cyrspec_temp;zwave;Temperature;10.3;;;;"=""2020-12-22 08:15:45.848"""
324093;W_Balkon_cyrspec_moist;zwave;MoistPercent;104.74;;;;"=""2020-12-22 08:15:46.000"""
324094;W_Balkon_cyrspec_light;zwave;LightPercent;99.82;;;;"=""2020-12-22 08:15:46.497"""
324095;H_Eingag_cyrspec_temp;zwave;Temperature;11.58;;;;"=""2020-12-22 08:24:24.513"""
324096;H_Eingag_cyrspec_light;zwave;LightPercent;31.53;;;;"=""2020-12-22 08:24:24.532"""
324097;H_Eingag_cyrspec_moist;zwave;MoistPercent;81.28;;;;"=""2020-12-22 08:24:25.112"""
324098;H_Eingag_cyrspec_temp;zwave;Temperature;11.6;;;;"=""2020-12-22 08:30:25.111"""
324099;H_Eingag_cyrspec_moist;zwave;MoistPercent;80.68;;;;"=""2020-12-22 08:30:25.134"""
324100;H_Eingag_cyrspec_light;zwave;LightPercent;48.43;;;;"=""2020-12-22 08:30:25.731"""
324101;H_Eingag_cyrspec_temp;zwave;Temperature;11.65;;;;"=""2020-12-22 08:36:21.455"""
324102;H_Eingag_cyrspec_moist;zwave;MoistPercent;80.28;;;;"=""2020-12-22 08:36:21.484"""
324103;H_Eingag_cyrspec_light;zwave;LightPercent;65.33;;;;"=""2020-12-22 08:36:22.095"""
324104;H_Eingag_cyrspec_temp;zwave;Temperature;11.82;;;;"=""2020-12-22 08:42:21.962"""
324105;H_Eingag_cyrspec_moist;zwave;MoistPercent;80.08;;;;"=""2020-12-22 08:42:22.021"""
324106;H_Eingag_cyrspec_light;zwave;LightPercent;87.8;;;;"=""2020-12-22 08:42:22.601"""
324107;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 08:48:58.394"""
